issue_type,row_ids,detail
MEDIUM_CONFIDENCE_DUPLICATE,16;325,"'Federal University, Oye-Ekiti, Ekiti State' vs 'High Flyers University, Ikere-Ekiti, Ekiti State', ratio=0.80, states: Ekiti / Ekiti."
MEDIUM_CONFIDENCE_DUPLICATE,126;274,"'Bamidele Olumilua University of Science and Technology Ikere, Ekiti State' vs 'Hillside University of Science and Technology, Okemisi, Ekiti State', ratio=0.80, states: Ekiti / Ekiti."
MEDIUM_CONFIDENCE_DUPLICATE,277;325,"'Venite University, Iloro-Ekiti, Ekiti State' vs 'High Flyers University, Ikere-Ekiti, Ekiti State', ratio=0.77, states: Ekiti / Ekiti."
MEDIUM_CONFIDENCE_DUPLICATE,19;265,"'Federal University, Gusau Zamfara' vs 'Huda University, Gusau, Zamafara State', ratio=0.79, states: Zamfara / unknown."
MEDIUM_CONFIDENCE_DUPLICATE,282;285,"'Miva Open University, Abuja FCT' vs 'Al-Muhibbah Open University, Abuja', ratio=0.80, states: FCT / FCT."
MEDIUM_CONFIDENCE_DUPLICATE,22;182,"'National Open University of Nigeria, Abuja' vs 'Nile University of Nigeria, Abuja', ratio=0.88, states: FCT / FCT."
MEDIUM_CONFIDENCE_DUPLICATE,22;267,"'National Open University of Nigeria, Abuja' vs 'Canadian University of Nigeria, Abuja', ratio=0.86, states: FCT / FCT."
MEDIUM_CONFIDENCE_DUPLICATE,22;326,"'National Open University of Nigeria, Abuja' vs 'Ummah University of Nigeria, Abuja', ratio=0.79, states: FCT / FCT."
MEDIUM_CONFIDENCE_DUPLICATE,37;182,"'University of Nigeria, Nsukka' vs 'Nile University of Nigeria, Abuja', ratio=0.81, states: unknown / FCT."
MEDIUM_CONFIDENCE_DUPLICATE,37;267,"'University of Nigeria, Nsukka' vs 'Canadian University of Nigeria, Abuja', ratio=0.76, states: unknown / FCT."
MEDIUM_CONFIDENCE_DUPLICATE,37;326,"'University of Nigeria, Nsukka' vs 'Ummah University of Nigeria, Abuja', ratio=0.79, states: unknown / FCT."
MEDIUM_CONFIDENCE_DUPLICATE,154;182,"'American University of Nigeria, Yola' vs 'Nile University of Nigeria, Abuja', ratio=0.75, states: unknown / FCT."
MEDIUM_CONFIDENCE_DUPLICATE,154;267,"'American University of Nigeria, Yola' vs 'Canadian University of Nigeria, Abuja', ratio=0.79, states: unknown / FCT."
MEDIUM_CONFIDENCE_DUPLICATE,182;267,"'Nile University of Nigeria, Abuja' vs 'Canadian University of Nigeria, Abuja', ratio=0.89, states: FCT / FCT."
MEDIUM_CONFIDENCE_DUPLICATE,182;326,"'Nile University of Nigeria, Abuja' vs 'Ummah University of Nigeria, Abuja', ratio=0.87, states: FCT / FCT."
MEDIUM_CONFIDENCE_DUPLICATE,267;326,"'Canadian University of Nigeria, Abuja' vs 'Ummah University of Nigeria, Abuja', ratio=0.85, states: FCT / FCT."
MEDIUM_CONFIDENCE_DUPLICATE,54;173,"'National University of Science and Technology, Abuja' vs 'African University of Science and Technology, Abuja', ratio=0.87, states: FCT / FCT."
MEDIUM_CONFIDENCE_DUPLICATE,177;296,"'Veritas University, Abuja' vs 'Eranova University, Abuja', ratio=0.84, states: FCT / FCT."
MEDIUM_CONFIDENCE_DUPLICATE,177;322,"'Veritas University, Abuja' vs 'City University Abuja', ratio=0.83, states: FCT / FCT."
MEDIUM_CONFIDENCE_DUPLICATE,241;289,"'Philomath University, Kuje, Abuja' vs 'Prime University, Kuje, FCT Abuja', ratio=0.82, states: FCT / FCT."
MEDIUM_CONFIDENCE_DUPLICATE,281;322,"'Cosmopolitan University Abuja' vs 'City University Abuja', ratio=0.80, states: FCT / FCT."
MEDIUM_CONFIDENCE_DUPLICATE,282;306,"'Miva Open University, Abuja FCT' vs 'Leadership University, Abuja, FCT', ratio=0.75, states: FCT / FCT."
MEDIUM_CONFIDENCE_DUPLICATE,59;69,"'Federal University of Education, Zaria, Kaduna State' vs 'Federal University of Applied Sciences, Kachia, Kaduna State', ratio=0.82, states: Kaduna / Kaduna."
MEDIUM_CONFIDENCE_DUPLICATE,279;327,"'The Duke Medical University, Calabar, Cross River State' vs 'Pearl University, Calabar, Cross river', ratio=0.77, states: Cross River / Cross River."
MEDIUM_CONFIDENCE_DUPLICATE,155;164,"'Ajayi Crowther University, Ibadan' vs 'Lead City University, Ibadan', ratio=0.75, states: unknown / unknown."
MEDIUM_CONFIDENCE_DUPLICATE,207;209,"'Kola Daisi University Ibadan, Oyo State' vs 'Dominican University Ibadan Oyo State', ratio=0.79, states: Oyo / Oyo."
MEDIUM_CONFIDENCE_DUPLICATE,207;222,"'Kola Daisi University Ibadan, Oyo State' vs 'Dominion University Ibadan, Oyo State', ratio=0.84, states: Oyo / Oyo."
HIGH_CONFIDENCE_DUPLICATE,209;222,"'Dominican University Ibadan Oyo State' vs 'Dominion University Ibadan, Oyo State', ratio=0.95, states: Oyo / Oyo."
MEDIUM_CONFIDENCE_DUPLICATE,209;284,"'Dominican University Ibadan Oyo State' vs 'West Midlands Open University, Ibadan, Oyo State', ratio=0.75, states: Oyo / Oyo."
MEDIUM_CONFIDENCE_DUPLICATE,222;284,"'Dominion University Ibadan, Oyo State' vs 'West Midlands Open University, Ibadan, Oyo State', ratio=0.80, states: Oyo / Oyo."
MEDIUM_CONFIDENCE_DUPLICATE,34;39,"'University of Jos' vs 'University of Uyo', ratio=0.88, states: unknown / unknown."
MEDIUM_CONFIDENCE_DUPLICATE,35;171,"'University of Lagos' vs 'Caleb University, Lagos', ratio=0.76, states: Lagos / Lagos."
MEDIUM_CONFIDENCE_DUPLICATE,153;171,"'Pan-Atlantic University, Lagos' vs 'Caleb University, Lagos', ratio=0.75, states: Lagos / Lagos."
MEDIUM_CONFIDENCE_DUPLICATE,153;227,"'Pan-Atlantic University, Lagos' vs 'Maranatha University, Lagos', ratio=0.81, states: Lagos / Lagos."
MEDIUM_CONFIDENCE_DUPLICATE,171;227,"'Caleb University, Lagos' vs 'Maranatha University, Lagos', ratio=0.76, states: Lagos / Lagos."
MEDIUM_CONFIDENCE_DUPLICATE,208;234,"'Anchor University Ayobo Lagos State' vs 'James Hope University, Lagos, Lagos State', ratio=0.76, states: Lagos / Lagos."
MEDIUM_CONFIDENCE_DUPLICATE,234;312,"'James Hope University, Lagos, Lagos State' vs 'Unique Open University, Ojo, Lagos State', ratio=0.79, states: Lagos / Lagos."
MEDIUM_CONFIDENCE_DUPLICATE,47;75,"'Federal University of Technology, Ikot Abasi, Akwa Ibom State' vs 'Federal University of Agriculture and Technology Obio-Akpa Akwa Ibom State', ratio=0.80, states: Akwa Ibom / Akwa Ibom."
MEDIUM_CONFIDENCE_DUPLICATE,213;261,"'Coal City University Enugu State' vs 'PeaceLand University, Enugu State', ratio=0.77, states: Enugu / Enugu."
MEDIUM_CONFIDENCE_DUPLICATE,233;242,"'Karl-Kumm University, Vom, Plateau State' vs 'Anan University, Kwall, Plateau State', ratio=0.75, states: Plateau / Plateau."
MEDIUM_CONFIDENCE_DUPLICATE,240;252,"'Edusoko University, Bida, Niger State' vs 'Newgate University, MInna, Niger State.', ratio=0.77, states: Niger / Niger."
MEDIUM_CONFIDENCE_DUPLICATE,240;286,"'Edusoko University, Bida, Niger State' vs 'El-Amin University, Minna, Niger State', ratio=0.77, states: Niger / Niger."
MEDIUM_CONFIDENCE_DUPLICATE,240;310,"'Edusoko University, Bida, Niger State' vs 'JEFAP University, Suleja, Niger State', ratio=0.76, states: Niger / Niger."
MEDIUM_CONFIDENCE_DUPLICATE,252;310,"'Newgate University, MInna, Niger State.' vs 'JEFAP University, Suleja, Niger State', ratio=0.77, states: Niger / Niger."
MEDIUM_CONFIDENCE_DUPLICATE,286;310,"'El-Amin University, Minna, Niger State' vs 'JEFAP University, Suleja, Niger State', ratio=0.77, states: Niger / Niger."
MEDIUM_CONFIDENCE_DUPLICATE,212;307,"'Ojaja University Eiyenkorin, Kwara State' vs 'Jimoh Babalola University, Ilorin, Kwara State', ratio=0.77, states: Kwara / Kwara."
MEDIUM_CONFIDENCE_DUPLICATE,238;300,"'University of Offa, Kwara State' vs 'Lens University, Ilemona, Kwara State', ratio=0.76, states: Kwara / Kwara."
MEDIUM_CONFIDENCE_DUPLICATE,254;283,"'NorthWest University Sokoto State' vs 'Iconic Open University, Sokoto State.', ratio=0.78, states: Sokoto / Sokoto."
